scenario_id,customer_line,technique_tag,elite_dialogue,fail_signals,mode,domain,difficulty,weight_class,is_active
"001","I saw the same car advertised online for way less. Why is your price so much higher?","AGREE then REFRAME","Good -- I'm glad you found that. Pull it up right now, let's look at it together. And I'll make you a promise: if they're genuinely beating us on the same car in the same condition, I'll tell you to go buy it there. I mean that. But nine times out of ten, when we go line by line, their price is missing something mine isn't. Let's find out which one this is.","immediately matches price | says ""where did you see that"" defensively | drops price without building value","objection","objection_handling","1","hybrid","true"
"002","Look, I know what invoice is. I've done my research. I'm not paying a dollar over that.","RESPECT then EDUCATE","I respect the homework -- most people don't dig that deep. But here's what nobody tells you about invoice: the dealer who's willing to sell you a car at invoice had to cut corners somewhere to make that math work. Skipped the reconditioning, rushed the inspection, or they'll make it up in the back end on your financing. Invoice isn't the finish line -- it's a trap. Let me show you what your money actually buys at our number versus theirs.","argues about invoice accuracy | caves to invoice pricing | gets defensive about profit margin","objection","objection_handling","2","hybrid","true"
"003","We like the car, but it's just out of our budget. Can you knock off another $3,000?","ISOLATE then REFRAME","I hear you -- and I want to make this work. Quick question: when you say $3,000, are we talking about the total price or the monthly payment? Because those are two completely different problems and I might be able to solve one of them right now. Which one keeps you up at night?","immediately discounts $3K | says ""let me talk to my manager"" without qualifying | switches to cheaper car without exploring budget flexibility","objection","objection_handling","1","hybrid","true"
"004","Your competitor down the street says they'll beat any deal. Why shouldn't I go there?","AGREE then DIFFERENTIATE","Go. Seriously -- get their best offer in writing and bring it back to me. But while you're there, ask them one question: when something goes wrong with this car at 7 PM on a Tuesday, who are you calling? Because they don't know your name yet. I do. The cheapest deal in town is worthless if nobody picks up the phone when you need help. Get their number, then come see mine.","trash-talks the competitor | matches blindly | says ""go ahead then""","objection","competitive_positioning","2","hybrid","true"
"005","I don't want to haggle. Just give me your absolute rock bottom price right now.","ALIGN then HOLD","I respect that -- and honestly that's why I don't haggle either. This price is market-based, no games, no back and forth. What you see is the real number. So since we're not going to go back and forth on price, let's make sure the car is right. Have you driven it yet? Because if you love it behind the wheel, everything else is just paperwork.","starts negotiating against themselves | drops price immediately | says ""I'll see what I can do""","objection","objection_handling","1","hybrid","true"
"006","We found the exact same car cheaper online. Can you match it or should we just order it from them?","CLARIFY THEN VALUE-BUILD. Ask to see the listing -- same trim, mileage, condition? Often not identical. Explain what's included in your price: inspection, reconditioning, local warranty support.","Can I see that listing? Same trim, same miles? A lot of times the cheaper price skips the inspection and reconditioning. Let me show you what's behind our number.","matches without seeing the listing | says ""go buy it there then"" | gets defensive","objection","objection_handling","2","hybrid","false"
"007","The sticker price and the 'internet price' are $4,000 apart. Which one is real?","BE TRANSPARENT","The internet price -- that's your number. The sticker is a suggestion from a manufacturer who's never met you, never seen your trade, and has no idea what incentives apply to your situation. Nobody pays it. Think of sticker as the ceiling that exists so the real price feels like a deal. Let me break down every dollar in your number right now, and once you see there's nothing hiding, the only question left is whether you love the car. Do you?","can't explain the gap | gets evasive | says ""they're both real"" without clarifying","objection","objection_handling","1","hybrid","true"
"008","We can't go over $400 a month. Period. If you can't make that work, we're walking.","AGREE then EXPLORE","$400 a month -- got it. Now quick question: what are you spending every month right now on gas, maintenance, and repairs on your current car? Most people don't add that up. When you do, your real transportation cost is probably already past $400. This new car rolls all of that into one predictable payment. Let me run the real numbers and show you what $400 actually looks like in this car.","says ""we can't get to $400"" without exploring | stretches to 84 months without explaining tradeoffs | lets them walk","objection","financing","2","hybrid","true"
"009","Your ad said $299 a month. Now the real number is $450. That feels like bait and switch.","OWN THE GAP","You're not wrong to feel that way -- and I'm not going to dodge it. That $299 is real, but it assumes perfect credit, specific down payment, and a base trim. Not everyone lands there. Here's what I want to do: let me figure out YOUR number based on your actual situation -- your credit, your trade, the car you want. The goal is to get as close to $299 as we can. Can I run it right now?","blames the ad department | can't explain the assumptions behind the ad price | says ""that's just how ads work"" dismissively","objection","financing","1","hybrid","true"
"010","We figured out our budget at home and this is more than we planned to spend.","VALIDATE THEN DIG DEEPER. Respect their homework. Ask: did their budget include just purchase price or total monthly cost with repairs, fuel, maintenance? Real driving cost is bigger than payment.","Smart to plan ahead. When you set that budget, were you factoring in what you spend now on gas, repairs, and maintenance? The new car rolls all of that into one number.","immediately downsells to a cheaper model | accepts the budget number without questioning what's behind it | says ""that's all we have in that range""","objection","financing","1","hybrid","false"
